stnm,lat,lon,alt_m,network,data_start,data_end,jump_epochs
abmf,16.262300,-61.527537,-25.7,IGS,,,
aboa,-73.043771,-13.407135,468.7,POLENET,,,
ac23,60.475093,-150.877954,80.8,IGS,,,
ac24,58.681572,-156.652756,36.4,IGS,,,
acrg,5.641472,-0.207111,83.4,IGS,,,
aggo,-34.873708,-58.139861,42.1,IGS,,,
aira,31.824061,130.599592,314.6,IGS,,,
ajac,41.927450,8.762608,98.8,IGS,,,
alac,38.338917,-0.481233,60.3,IGS,,,
albh,48.389800,-123.487400,32.0,IGS,,,
alrt,82.494294,-62.340461,78.1,IGS,,,
antf,-23.701531,-70.420078,68.4,IGS,,,
areg,-16.465423,-71.492904,2489.3,IGS,,,
areq,-16.465517,-71.492797,2488.9,IGS,,,
arht,-77.829436,166.663653,135.3,IGS,,,
ascg,-7.916281,-14.332664,38.0,IGS,,,
aspa,-14.326094,-170.722433,53.7,IGS,,,
auck,-36.602835,174.834387,132.7,IGS,,,
back,-74.430441,-102.478000,33.2,POLENET,,,
baie,49.186825,-68.263328,27.5,IGS,,,
bako,-6.491055,106.848910,158.2,IGS,,,
bamf,48.835317,-125.135089,11.1,IGS,,,
barh,44.395047,-68.221692,6.8,IGS,,,
bean,-75.956299,-69.302000,892.3,POLENET,,,
bele,-1.408794,-48.462547,9.1,IGS,,,
belg,-77.874803,-34.627000,0.0,POLENET,,,
benn,-84.786458,-116.460000,1416.4,POLENET,,,
berp,-74.545936,-111.885000,313.2,POLENET,,,
bhr3,26.209147,50.608153,-13.9,IGS,,,
bhr4,26.209147,50.608153,-13.9,IGS,,,
bill,33.578242,-117.064600,470.1,IGS,,,
bjco,6.384664,2.450022,30.7,IGS,,,
bnoa,-8.746500,115.209917,39.1,IGS,,,
bren,-72.672885,-63.026000,1644.7,POLENET,,,
brft,-3.877447,-38.425536,21.7,IGS,,,
brip,-75.795670,158.469000,0.0,POLENET,,,
brst,48.380497,-4.496600,65.5,IGS,,,
brux,50.7986,4.3581,149.1,IGS,2024-01-01,2024-01-03,
bshm,32.778987,35.022987,225.1,IGS,,,
btng,1.438922,125.190431,75.0,IGS,,,
bums,-85.961493,174.499000,0.0,POLENET,,,
buri,-79.147437,155.894000,0.0,POLENET,,,
cant,43.471978,-3.798067,99.3,IGS,,,
capf,-66.012071,-60.558000,100.2,POLENET,,,
cas1,-66.283359,110.520000,0.0,IGS,,,
casc,38.693414,-9.418522,77.1,IGS,,,
ccj2,27.067531,142.195028,104.2,IGS,,,
cedu,-31.866658,133.809836,144.7,IGS,,,
chof,35.674544,139.531057,93.9,IGS,,,
chpg,-22.682273,-45.002376,566.2,IGS,,,
chpi,-22.687144,-44.985158,617.4,IGS,,,
chti,-43.735469,-176.617124,75.7,IGS,,,
chur,58.759078,-94.088725,-19.5,IGS,,,
chwk,49.156600,-122.008400,170.0,IGS,,,
cibg,-6.490365,106.849173,169.1,IGS,,,
cit1,34.136708,-118.127286,215.3,IGS,,,
ckis,-21.201028,-159.800607,17.1,IGS,,,
cksv,22.998853,120.220008,59.6,IGS,,,
clrk,-77.340077,-141.874000,0.0,POLENET,,,
cmp9,34.353181,-118.411425,1138.0,IGS,,,
cote,-77.805903,161.998000,0.0,POLENET,,,
coyq,-45.514376,-71.892084,479.3,IGS,,,
cpnm,10.724650,99.374378,9.1,IGS,,,
cpvg,16.732062,-22.934933,94.1,IGS,,,
crdi,-82.861522,-53.199000,945.3,POLENET,,,
crfp,34.039053,-117.099683,688.8,IGS,,,
cro1,17.756899,-64.584319,-31.5,IGS,,,
cusv,13.735914,100.533908,76.1,IGS,,,
cut0,-32.003889,115.894800,24.0,IGS,,,
cuut,13.735991,100.533935,74.3,IGS,,,
cyne,4.821954,-52.365414,-22.8,IGS,,,
cztg,-46.431894,51.855481,202.8,IGS,,,
dae2,36.399425,127.374481,116.8,IGS,,,
daej,36.399427,127.374486,116.8,IGS,,,
dakr,14.721222,-17.439472,51.0,IGS,,,
darw,-12.843697,131.132744,125.1,IGS,,,
dav1,-68.577323,77.973000,0.0,IGS,,,
devi,-81.476722,161.977000,0.0,POLENET,,,
dgar,-7.269684,72.370240,-64.7,IGS,,,
djig,11.526288,42.847064,711.4,IGS,,,
dlf1,51.986019,4.387458,75.8,IGS,,,
dltv,11.945273,108.481753,1585.3,IGS,,,
drag,31.593200,35.392069,31.8,IGS,,,
dubi,25.002321,55.466769,67.9,IGS,,,
dum1,-66.665085,140.002000,0.0,IGS,,,
dumg,-66.665169,140.002200,-3.4,IGS,,,
dund,-45.883659,170.597160,386.9,IGS,,,
dupt,-64.804951,-62.817000,0.0,POLENET,,,
dyng,38.078553,23.932433,510.6,IGS,,,
ebre,40.820886,0.492350,107.3,IGS,,,
enao,39.091203,-28.026011,91.6,IGS,,,
eprt,44.908711,-66.992131,30.4,IGS,,,
escu,47.073404,-64.798710,-16.0,IGS,,,
eur2,79.988947,-85.937592,28.9,IGS,,,
faa1,-17.555314,-149.614300,12.3,IGS,,,
falk,-51.693652,-57.874067,50.8,IGS,,,
fall,-85.306417,-143.632000,260.2,POLENET,,,
fie0,-76.144593,168.424000,0.0,POLENET,,,
flm5,-77.532730,160.271000,0.0,POLENET,,,
flrs,39.453833,-31.126389,79.9,IGS,,,
fonp,-65.245353,-61.647000,95.5,POLENET,,,
fos1,-71.313346,-68.321000,158.8,POLENET,,,
frdn,45.933497,-66.659880,95.9,IGS,,,
frei,-62.194102,-58.981000,0.0,POLENET,,,
ftna,-14.307803,-178.120946,84.9,IGS,,,
ftp4,-78.927674,162.565000,0.0,POLENET,,,
func,32.647947,-16.907617,78.5,IGS,,,
gamg,35.590071,127.919658,928.0,IGS,,,
geno,44.419400,8.921117,153.5,IGS,,,
gldk,-72.233052,-100.588000,55.5,POLENET,,,
glps,-0.742999,-90.303669,1.8,IGS,,,
gmez,-73.885468,-68.536000,1420.2,POLENET,,,
gmsd,30.556444,131.015564,142.6,IGS,,,
gode,39.021728,-76.826830,14.5,IGS,,,
godn,39.021179,-76.827095,17.8,IGS,,,
gods,39.020518,-76.827324,19.1,IGS,,,
grac,43.754486,6.920761,1319.8,IGS,,,
gras,43.754739,6.920575,1319.3,IGS,,,
guam,13.589331,144.868358,201.9,IGS,,,
guat,14.590403,-90.520183,1519.9,IGS,,,
guug,13.433208,144.802714,134.7,IGS,,,
gvdg,34.838361,24.109031,124.2,IGS,,,
haag,-77.038051,-78.287000,1171.8,POLENET,,,
hal1,20.707417,-156.256243,3072.8,IGS,,,
hers,50.867300,0.336200,76.5,IGS,,,
hert,50.867478,0.334353,83.3,IGS,,,
hksl,22.372006,113.927981,95.3,IGS,,,
hkws,22.434283,114.335378,63.8,IGS,,,
hlfx,44.683550,-63.611278,3.1,IGS,,,
hnlc,21.303300,-157.864500,22.0,IGS,,,
hnpt,38.588817,-76.130372,-28.0,IGS,,,
hnus,-34.424631,19.223061,63.0,IGS,,,
hob2,-42.804706,147.438736,41.0,IGS,,,
hofn,64.267294,-15.197914,82.9,IGS,,,
holb,50.640400,-128.135000,560.0,IGS,,,
holm,70.736400,-117.760900,39.5,IGS,,,
holp,33.924539,-118.168169,-6.7,IGS,,,
howe,-87.415655,-149.433000,2582.6,POLENET,,,
hown,-77.528037,-86.767000,1478.2,POLENET,,,
hton,-74.080007,-61.731000,950.4,POLENET,,,
hugo,-64.962562,-65.668000,0.0,POLENET,,,
humg,21.071752,105.773486,0.8,IGS,,,
iggy,-83.307206,156.250000,0.0,POLENET,,,
inmn,-74.820865,-98.880000,678.1,POLENET,,,
invk,68.306182,-133.526967,46.3,IGS,,,
iqal,63.755964,-68.510497,91.7,IGS,,,
iqqe,-20.273539,-70.131717,39.0,IGS,,,
ishi,36.208833,140.218956,155.8,IGS,,,
ispa,-27.124984,-109.344398,112.5,IGS,,,
ista,41.104447,29.019339,147.2,IGS,,,
izmi,38.394808,27.081822,74.9,IGS,,,
jctw,-33.951433,18.468550,83.6,IGS,,,
jnsn,-73.076505,-66.102000,1373.9,POLENET,,,
jog2,-7.763814,110.372463,174.4,IGS,,,
jplm,34.204819,-118.173225,424.0,IGS,,,
karr,-20.981422,117.097197,109.1,IGS,,,
kerg,-49.351467,70.256000,0.0,IGS,,,
kiri,1.354589,172.922883,36.2,IGS,,,
klsq,66.995606,-50.620236,353.2,IGS,,,
kmnm,24.463822,118.388578,49.1,IGS,,,
kokb,22.126264,-159.664930,1167.5,IGS,,,
kokv,22.126264,-159.664930,1167.5,IGS,,,
kos1,52.173356,5.818225,104.8,IGS,,,
kouc,-20.558697,164.287333,84.2,IGS,,,
koug,5.098468,-52.639747,106.2,IGS,,,
kour,5.252180,-52.805959,-25.8,IGS,,,
krgg,-49.351543,70.255506,73.0,IGS,,,
kuj2,55.290008,-77.735272,8.6,IGS,,,
lae1,-6.673700,146.993200,140.3,IGS,,,
lama,53.892400,20.669933,186.7,IGS,,,
laut,-17.608808,177.446583,89.7,IGS,,,
lbch,33.787769,-118.203344,-27.6,IGS,,,
licc,51.499789,-0.174839,88.7,IGS,,,
lmmf,14.594817,-60.996169,-27.0,IGS,,,
lntk,-74.835160,-73.903000,1190.9,POLENET,,,
lpal,28.763869,-17.893831,2199.2,IGS,,,
lpgs,-34.906744,-57.932300,29.9,IGS,,,
lply,-73.111115,-90.299000,127.5,POLENET,,,
lroc,46.158940,-1.219320,57.9,IGS,,,
lwn0,-81.345940,152.732000,0.0,POLENET,,,
lxaa,-71.946577,23.346000,0.0,POLENET,,,
m0se,41.893114,12.493258,120.6,IGS,,,
mac1,-54.499528,158.935831,-6.8,IGS,,,
mag0,59.575800,150.770000,361.9,IGS,,,
mait,-70.765806,11.736000,0.0,POLENET,,,
majk,-81.660988,-21.874000,1447.4,POLENET,,,
maju,7.119153,171.364510,33.7,IGS,,,
mal2,-2.996055,40.194143,-20.9,IGS,,,
mall,39.552625,2.624550,62.0,IGS,,,
mana,12.148939,-86.248994,71.0,IGS,,,
mar6,60.595142,17.258522,75.4,IGS,,,
mar7,60.595053,17.258439,74.3,IGS,,,
mars,43.278767,5.353783,61.8,IGS,,,
mas1,27.763739,-15.633278,197.2,IGS,,,
mat1,40.649061,16.704544,534.5,IGS,,,
mate,40.649131,16.704458,535.6,IGS,,,
matg,40.649028,16.704653,537.0,IGS,,,
maui,20.706700,-156.257000,3062.0,IGS,,,
maw1,-67.604767,62.871000,0.0,IGS,,,
mbio,-64.240391,-56.623000,0.0,POLENET,,,
mcar,-76.322196,-144.304000,0.0,POLENET,,,
mcm4,-77.838349,166.669000,0.0,IGS,,,
mcrg,-73.667800,-94.646000,1334.9,POLENET,,,
medi,44.519956,11.646814,50.0,IGS,,,
meli,35.281219,-2.951642,93.5,IGS,,,
mers,36.566389,34.255853,38.5,IGS,,,
met3,60.217456,24.394500,79.2,IGS,,,
metg,60.241967,24.384175,59.7,IGS,,,
mikl,46.972789,31.972828,94.7,IGS,,,
min0,-78.650309,167.164000,0.0,POLENET,,,
mizu,39.135169,141.132828,117.0,IGS,,,
mkea,19.801357,-155.456345,3754.7,IGS,,,
mkib,-75.276195,-65.603000,1156.2,POLENET,,,
mobs,-37.829403,144.975342,40.6,IGS,,,
monp,32.891939,-116.422358,1842.5,IGS,,,
morp,55.212789,-1.685497,144.5,IGS,,,
mqzg,-43.702729,172.654693,154.7,IGS,,,
mrc1,38.499100,-77.370650,27.2,IGS,,,
mrl1,-41.576183,173.740756,147.2,IGS,,,
mrl2,-41.576183,173.740756,147.2,IGS,,,
mrtp,-74.180405,-115.102000,96.3,POLENET,,,
mtak,-76.315041,-112.800000,1328.8,POLENET,,,
mtjn,-79.627017,-91.281000,2161.8,POLENET,,,
mtka,35.679514,139.561386,109.0,IGS,,,
mtv1,-34.913589,-56.176303,40.7,IGS,,,
mtv2,-34.913589,-56.176303,40.7,IGS,,,
nabg,78.943094,11.857314,42.9,IGS,,,
nain,56.536964,-61.688717,33.5,IGS,,,
nano,49.294800,-124.086500,6.0,IGS,,,
naur,-0.551839,166.925550,46.3,IGS,,,
ncku,22.996658,120.222583,98.2,IGS,,,
nico,35.140989,33.396450,190.1,IGS,,,
nium,-19.076567,-169.927067,90.1,IGS,,,
nklg,0.353899,9.672126,31.5,IGS,,,
nnor,-31.048739,116.192714,235.0,IGS,,,
not1,36.875861,14.989789,127.9,IGS,,,
nrc1,45.454162,-75.623826,82.5,IGS,,,
nrmd,-22.228331,166.484883,160.4,IGS,,,
nrmg,-22.228324,166.484886,160.4,IGS,,,
ntus,1.345800,103.679900,79.0,IGS,,,
nya1,78.929553,11.865294,83.7,IGS,,,
nya2,78.930333,11.858639,81.5,IGS,,,
nyal,78.929581,11.865094,79.0,IGS,,,
oak1,51.117614,-0.905122,139.6,IGS,,,
oak2,51.117614,-0.905122,139.6,IGS,,,
ohi2,-63.321081,-57.901000,0.0,IGS,,,
ohi3,-63.321095,-57.901385,32.1,IGS,,,
ons1,57.395331,11.924536,44.4,IGS,,,
onsa,57.395297,11.925514,45.5,IGS,,,
osn3,37.082689,127.033589,64.4,IGS,,,
osn4,37.082689,127.033589,64.4,IGS,,,
ous2,-45.869475,170.510933,26.1,IGS,,,
owmg,-44.024295,-176.368803,21.6,IGS,,,
palm,-64.775090,-64.051000,0.0,IGS,,,
parc,-53.136952,-70.879881,22.3,IGS,,,
patn,-78.030046,-155.023000,0.0,POLENET,,,
pbr4,11.637442,92.712431,-14.6,IGS,,,
pdel,37.747747,-25.662767,110.8,IGS,,,
pece,-85.611919,-68.556000,1490.4,POLENET,,,
pert,-31.801958,115.885256,12.7,IGS,,,
pets,53.023300,158.650136,102.2,IGS,,,
pgen,6.064912,125.131661,121.1,IGS,,,
pimo,14.635719,121.077731,95.5,IGS,,,
pin1,33.612158,-116.458169,1256.2,IGS,,,
pirt,-81.103206,-85.143000,1257.0,POLENET,,,
piur,-5.169867,-80.639286,55.8,IGS,,,
pngm,-2.043225,147.366000,116.3,IGS,,,
poal,-30.074042,-51.119764,76.8,IGS,,,
pohn,6.959944,158.210116,90.7,IGS,,,
pppc,9.772932,118.740234,66.5,IGS,,,
prpt,-66.006716,-65.339000,17.6,POLENET,,,
ptag,14.535442,121.040764,86.7,IGS,,,
ptgg,14.535402,121.041265,84.9,IGS,,,
ptvl,-17.749433,168.315025,86.4,IGS,,,
qaq1,60.715264,-46.047761,110.4,IGS,,,
qiki,67.559333,-64.033667,13.3,IGS,,,
rabt,33.998103,-6.854289,90.1,IGS,,,
raeg,36.985700,-25.126389,297.9,IGS,,,
ramg,-84.338426,178.047000,0.0,POLENET,,,
ramo,30.597758,34.763139,893.1,IGS,,,
rbay,-28.795547,32.078386,31.8,IGS,,,
rdsd,18.461398,-69.911323,-9.2,IGS,,,
reso,74.690820,-94.893705,20.1,IGS,,,
reun,-21.208225,55.571721,1558.4,IGS,,,
reyk,64.138789,-21.955492,93.0,IGS,,,
rgdg,-53.785839,-67.751528,32.4,IGS,,,
riga,56.948619,24.058772,34.7,IGS,,,
rio1,42.464242,-2.426097,450.4,IGS,,,
rio2,-53.785472,-67.751119,32.0,IGS,,,
rmbo,-83.873240,-66.394000,777.2,POLENET,,,
roag,36.463350,-6.206275,83.2,IGS,,,
rob4,-77.034439,163.190000,0.0,POLENET,,,
robn,-65.246500,-59.445000,57.9,POLENET,,,
rock,34.235675,-118.676431,553.4,IGS,,,
rotb,-67.571319,-68.127000,33.0,POLENET,,,
roth,-67.571388,-68.126000,39.7,POLENET,,,
saby,17.645850,-63.220569,-3.7,IGS,,,
salu,-2.593458,-44.212478,18.9,IGS,,,
samo,-13.849211,-171.738419,76.9,IGS,,,
sant,-33.150288,-70.668553,723.1,IGS,,,
savo,-12.939247,-38.432254,76.3,IGS,,,
sbok,-29.669322,17.879208,1043.1,IGS,,,
scip,32.914428,-118.487950,452.8,IGS,,,
scor,70.485333,-21.950336,128.5,IGS,,,
sctb,-77.848986,166.758000,0.0,IGS,,,
scub,20.012067,-75.762314,21.9,IGS,,,
sdly,-77.135313,-125.975000,2097.3,POLENET,,,
sejn,36.522211,127.303192,181.2,IGS,,,
seus,17.495297,-62.982608,-6.2,IGS,,,
sey2,-4.673651,55.479454,538.8,IGS,,,
seyg,-4.678732,55.530631,-37.1,IGS,,,
sfdm,34.459806,-118.754506,291.5,IGS,,,
sfer,36.464344,-6.205647,84.1,IGS,,,
sgoc,6.892075,79.874178,-78.5,IGS,,,
sgp1,-65.557031,-61.722000,250.4,POLENET,,,
sgp4,-66.685968,-62.460000,258.5,POLENET,,,
sgp5,-67.281975,-64.891000,272.5,POLENET,,,
shao,31.099642,121.200445,22.1,IGS,,,
she2,46.220691,-64.552010,-15.3,IGS,,,
sin1,1.342981,103.679438,92.5,IGS,,,
sltr,-75.098157,-113.880000,513.7,POLENET,,,
smr5,-68.129682,-67.103000,0.0,POLENET,,,
smst,33.577855,135.936955,97.5,IGS,,,
sni1,33.247875,-119.524364,239.7,IGS,,,
solo,-9.434922,159.954344,122.9,IGS,,,
spgt,-64.294728,-61.052000,0.0,POLENET,,,
spk1,34.059342,-118.646161,440.1,IGS,,,
sprz,-63.395120,-56.996000,0.0,POLENET,,,
spt0,57.714956,12.891344,219.9,IGS,,,
ssia,13.697300,-89.116200,664.4,IGS,,,
stew,-84.187015,-86.247000,1587.1,POLENET,,,
stfu,37.426907,-122.173291,20.4,IGS,,,
sthl,-15.942534,-5.667345,453.3,IGS,,,
stj3,47.595435,-52.678308,154.5,IGS,,,
stjo,47.595239,-52.677747,152.8,IGS,,,
stk2,43.528644,141.844819,118.5,IGS,,,
stpm,46.777825,-56.168244,0.5,IGS,,,
sugg,-75.280605,-72.180000,1092.5,POLENET,,,
suwn,37.275500,127.054200,83.9,IGS,,,
svea,-74.576037,-11.225000,0.0,POLENET,,,
svtl,60.532856,29.780872,76.8,IGS,,,
sydn,-33.780872,151.150383,85.6,IGS,,,
syog,-69.006957,39.584000,0.0,IGS,,,
tabl,34.381850,-117.678283,2228.0,IGS,,,
tcms,24.797986,120.987389,77.3,IGS,,,
teja,-39.805453,-73.252847,43.2,IGS,,,
thro,-79.126689,-28.319000,1058.6,POLENET,,,
thtg,-17.577064,-149.606442,96.7,IGS,,,
thti,-17.577058,-149.606445,98.5,IGS,,,
thu2,76.537047,-68.825050,36.2,IGS,,,
thur,-72.530066,-97.560000,212.8,POLENET,,,
tixi,71.634475,128.866414,47.0,IGS,,,
tkbg,36.067497,140.131236,69.1,IGS,,,
tnb1,-74.698806,164.103000,0.0,IGS,,,
tnml,24.797955,120.987344,75.9,IGS,,,
tomo,-75.801868,-114.662000,1170.9,POLENET,,,
tong,-21.144714,-175.179222,56.3,IGS,,,
torp,33.797797,-118.330603,-5.2,IGS,,,
tow2,-19.269272,147.055692,88.1,IGS,,,
trak,33.617936,-117.803439,115.5,IGS,,,
tro1,69.662714,18.939631,138.0,IGS,,,
trve,-69.988824,-67.555000,1064.4,POLENET,,,
tsk2,36.105575,140.087117,69.9,IGS,,,
tskb,36.105681,140.087497,67.3,IGS,,,
tubi,40.786728,29.450675,221.8,IGS,,,
tuva,-8.525292,179.196561,38.4,IGS,,,
twtf,24.953563,121.164508,201.5,IGS,,,
uclp,34.069122,-118.441911,111.5,IGS,,,
uclu,48.925600,-125.541600,10.0,IGS,,,
ufpr,-25.448369,-49.230955,925.8,IGS,,,
uldi,-28.293117,31.420922,607.9,IGS,,,
unb3,45.950208,-66.641706,22.9,IGS,,,
unbd,45.950123,-66.641495,23.1,IGS,,,
unbj,45.950208,-66.641706,22.8,IGS,,,
unbn,45.950208,-66.641706,22.9,IGS,,,
uscl,-33.449853,-70.681344,570.2,IGS,,,
usn7,38.920566,-77.066277,58.9,IGS,,,
usn8,38.920566,-77.066277,58.9,IGS,,,
usn9,38.920566,-77.066277,58.9,IGS,,,
usp1,-18.149086,178.446372,70.6,IGS,,,
utqi,71.322756,-156.615017,12.1,IGS,,,
vacs,-20.297091,57.497037,420.4,IGS,,,
vesl,-71.673796,-2.842000,0.0,IGS,,,
vis0,57.653867,18.367311,79.8,IGS,,,
vl01,-72.450138,169.725000,0.0,POLENET,,,
vl12,-72.274441,163.727000,0.0,POLENET,,,
vl30,-70.598722,162.525000,0.0,POLENET,,,
vnad,-65.246005,-64.254000,21.0,POLENET,,,
vndp,34.556311,-120.616450,-11.5,IGS,,,
wark,-36.434405,174.662780,111.3,IGS,,,
warn,54.169789,12.101428,50.7,IGS,,,
wdc5,38.920564,-77.066319,59.0,IGS,,,
wdc6,38.920564,-77.066319,59.0,IGS,,,
wes2,42.613336,-71.493328,85.0,IGS,,,
wgtn,-41.323448,174.805887,26.0,IGS,,,
whc1,33.979886,-118.031169,94.2,IGS,,,
whn0,-79.845699,154.220000,0.0,POLENET,,,
whtm,-82.683232,-104.393000,2347.2,POLENET,,,
wiln,-80.039837,-80.558000,667.2,POLENET,,,
wlch,-70.729355,-63.820000,303.2,POLENET,,,
wlct,-85.369264,-87.393000,1850.7,POLENET,,,
wlrd,-80.544117,-96.638000,2322.0,POLENET,,,
wlsn,34.226122,-118.055914,1705.3,IGS,,,
wsrt,52.914600,6.604500,86.0,IGS,,,
wuth,77.002511,15.538606,52.2,IGS,,,
wway,-81.577004,-28.403000,1196.2,POLENET,,,
xmis,-10.449958,105.688506,261.5,IGS,,,
yar2,-29.046547,115.346983,241.3,IGS,,,
yar3,-29.046489,115.347158,242.4,IGS,,,
yarr,-29.046581,115.346981,241.3,IGS,,,
yons,37.541122,127.001344,96.8,IGS,,,
yssk,47.029736,142.716719,91.3,IGS,,,
zeck,43.788392,41.565067,1167.0,IGS,,,
zhon,-69.370280,76.363000,0.0,POLENET,,,
